entity_id,dimension,value,is_primary
235,population,general_public,1
235,sector,healthcare,1
235,sector,funding_grants,0
235,region,national,1
236,population,disabilities,1
236,population,women,0
236,sector,funding_grants,1
236,region,national,1
237,population,Indigenous,1
237,population,youth,0
237,sector,employment,1
237,sector,healthcare,0
237,region,national,1
238,population,general_public,1
238,sector,education,1
238,sector,healthcare,0
238,region,national,1
239,population,Indigenous,1
239,sector,employment,1
239,region,national,1
240,population,general_public,1
240,sector,healthcare,1
240,sector,funding_grants,0
240,sector,language_training,0
240,region,national,1
241,population,general_public,1
241,sector,funding_grants,1
241,region,national,1
242,population,general_public,1
242,sector,employment,1
242,sector,funding_grants,0
242,region,national,1
243,population,general_public,1
243,sector,healthcare,1
243,sector,mental_health,0
243,sector,housing,0
243,sector,funding_grants,0
243,region,national,1
244,population,general_public,1
244,sector,employment,1
244,sector,funding_grants,0
244,region,national,1
245,population,general_public,1
245,sector,funding_grants,1
245,region,national,1
246,population,youth,1
246,sector,healthcare,1
246,sector,funding_grants,0
246,region,national,1
247,population,general_public,1
