entity_id,dimension,value,is_primary
1519,population,disabilities,0
1519,sector,employment,1
1519,region,national,1
1520,population,First_Nations,1
1520,population,disabilities,0
1520,sector,public_services,1
1520,region,national,1
1521,population,First_Nations,1
1521,population,disabilities,0
1521,sector,employment,1
1521,region,national,1
1522,population,women,1
1522,sector,employment,1
1522,sector,funding_grants,0
1522,region,national,1
1523,population,general_public,1
1523,sector,public_services,1
1523,region,national,1
1524,population,seniors,1
1524,sector,public_services,1
1524,region,national,1
1525,population,general_public,1
1525,sector,housing,1
1525,region,NT,1
1526,population,disabilities,1
1526,population,rural_remote,0
1526,sector,public_services,1
1526,region,national,1
1527,population,disabilities,1
1527,sector,public_services,1
1527,region,national,1
1528,population,general_public,1
1528,sector,public_services,1
1528,region,national,1
1529,population,First_Nations,1
1529,population,disabilities,0
1529,sector,employment,1
1529,region,national,1
1530,population,general_public,1
1530,sector,public_services,1
1530,region,national,1
1531,population,disabilities,1
1531,sector,employment,1
1531,region,national,1
1532,population,disabilities,1
1532,sector,employment,1
1532,region,national,1
1533,population,general_public,1
1533,sector,public_services,1
1533,region,national,1
1534,population,disabilities,1
1534,sector,public_services,1
1534,region,national,1
1535,population,disabilities,1
1535,sector,disability_support,1
1535,region,national,1
1536,population,disabilities,1
1536,sector,employment,1
1536,sector,disability_support,0
1536,region,national,1
1537,population,disabilities,1
1537,sector,funding_grants,1
1537,region,national,1
1538,population,general_public,1
1538,sector,employment,1
1538,sector,funding_grants,0
1538,region,national,1
1539,population,First_Nations,1
1539,population,disabilities,0
1539,sector,employment,1
1539,region,national,1
1540,population,First_Nations,1
1540,population,disabilities,0
1540,sector,employment,1
1540,region,national,1
1541,population,disabilities,1
1541,sector,employment,1
1541,region,national,1
1542,population,general_public,1
1542,sector,public_services,1
1542,region,national,1
1543,population,general_public,1
1543,sector,employment,1
1543,sector,housing,0
1543,region,ON,1
1544,population,disabilities,1
1544,sector,employment,1
1544,region,national,1
1545,population,seniors,1
1545,sector,housing,1
1545,region,national,1
1546,population,youth,1
1546,population,rural_remote,0
1546,sector,public_services,1
1546,region,national,1
1547,population,Indigenous,1
1547,population,rural_remote,0
1547,sector,employment,1
1547,sector,housing,0
1547,region,national,1
1548,population,First_Nations,1
1548,population,disabilities,0
1548,sector,public_services,1
1548,region,national,1
